rack,date,aoi,var,value,position,temp,basket_no,date_sampled,site,collected_by,gps_id,am_pm,bag_no,time_sample12hr...7,time_sample12hr...8,depth_ft,notes,date_CBASS,uniqueID
106B,1/22/26,5,fm,0.2752,3,36,17,20260121,Alofau,TC,GPS1,AM,99,10:37:00,10:37:00,9,NA,20260122,62
106B,1/22/26,5,y_ii_,0.419,3,36,17,20260121,Alofau,TC,GPS1,AM,99,10:37:00,10:37:00,9,NA,20260122,62
106B,1/22/26,6,f,0.1784,3,36,17,20260121,Alofau,TC,GPS1,AM,99,10:37:00,10:37:00,9,NA,20260122,62
106B,1/22/26,6,fm,0.2874,3,36,17,20260121,Alofau,TC,GPS1,AM,99,10:37:00,10:37:00,9,NA,20260122,62
106B,1/22/26,6,y_ii_,0.379,3,36,17,20260121,Alofau,TC,GPS1,AM,99,10:37:00,10:37:00,9,NA,20260122,62
106B,1/22/26,7,f,0.2067,4,36,28,20260121,Amouli,TC,GPS1,AM,15,8:54:00,8:54:00,3,NA,20260122,58
106B,1/22/26,7,fm,0.3094,4,36,28,20260121,Amouli,TC,GPS1,AM,15,8:54:00,8:54:00,3,NA,20260122,58
106B,1/22/26,7,y_ii_,0.332,4,36,28,20260121,Amouli,TC,GPS1,AM,15,8:54:00,8:54:00,3,NA,20260122,58
106B,1/22/26,8,f,0.2072,4,36,28,20260121,Amouli,TC,GPS1,AM,15,8:54:00,8:54:00,3,NA,20260122,58
106B,1/22/26,8,fm,0.3412,4,36,28,20260121,Amouli,TC,GPS1,AM,15,8:54:00,8:54:00,3,NA,20260122,58
106B,1/22/26,8,y_ii_,0.393,4,36,28,20260121,Amouli,TC,GPS1,AM,15,8:54:00,8:54:00,3,NA,20260122,58
106B,1/22/26,9,f,0.2009,5,36,27,20260121,Amouli,RC,GPS3,AM,60,8:50:00,8:50:00,3,NA,20260122,67
106B,1/22/26,9,fm,0.325,5,36,27,20260121,Amouli,RC,GPS3,AM,60,8:50:00,8:50:00,3,NA,20260122,67
106B,1/22/26,9,y_ii_,0.382,5,36,27,20260121,Amouli,RC,GPS3,AM,60,8:50:00,8:50:00,3,NA,20260122,67
106B,1/22/26,10,f,0.195,5,36,27,20260121,Amouli,RC,GPS3,AM,60,8:50:00,8:50:00,3,NA,20260122,67
106B,1/22/26,10,fm,0.3133,5,36,27,20260121,Amouli,RC,GPS3,AM,60,8:50:00,8:50:00,3,NA,20260122,67
106B,1/22/26,10,y_ii_,0.378,5,36,27,20260121,Amouli,RC,GPS3,AM,60,8:50:00,8:50:00,3,NA,20260122,67
106B,1/22/26,11,f,0.1652,6,36,20,20260121,Amouli,SM,GPS4,AM,81,8:37:00,8:37:00,3,NA,20260122,42
106B,1/22/26,11,fm,0.263,6,36,20,20260121,Amouli,SM,GPS4,AM,81,8:37:00,8:37:00,3,NA,20260122,42
106B,1/22/26,11,y_ii_,0.372,6,36,20,20260121,Amouli,SM,GPS4,AM,81,8:37:00,8:37:00,3,NA,20260122,42
106B,1/22/26,12,f,0.1794,6,36,20,20260121,Amouli,SM,GPS4,AM,81,8:37:00,8:37:00,3,NA,20260122,42
106B,1/22/26,12,fm,0.2991,6,36,20,20260121,Amouli,SM,GPS4,AM,81,8:37:00,8:37:00,3,NA,20260122,42
106B,1/22/26,12,y_ii_,0.4,6,36,20,20260121,Amouli,SM,GPS4,AM,81,8:37:00,8:37:00,3,NA,20260122,42
106B,1/22/26,13,f,0.1608,7,36,15,20260121,Alofau,RC,GPS3,AM,52,10:04:00,10:04:00,3,NA,20260122,72
106B,1/22/26,13,fm,0.26,7,36,15,20260121,Alofau,RC,GPS3,AM,52,10:04:00,10:04:00,3,NA,20260122,72
106B,1/22/26,13,y_ii_,0.382,7,36,15,20260121,Alofau,RC,GPS3,AM,52,10:04:00,10:04:00,3,NA,20260122,72
106B,1/22/26,14,f,0.1593,7,36,15,20260121,Alofau,RC,GPS3,AM,52,10:04:00,10:04:00,3,NA,20260122,72
106B,1/22/26,14,fm,0.2659,7,36,15,20260121,Alofau,RC,GPS3,AM,52,10:04:00,10:04:00,3,NA,20260122,72
106B,1/22/26,14,y_ii_,0.401,7,36,15,20260121,Alofau,RC,GPS3,AM,52,10:04:00,10:04:00,3,NA,20260122,72
106B,1/22/26,15,f,0.0733,8,36,BAG71,20260121,Alofau,TC,GPS1,AM,71,9:50:00,9:50:00,4,NA,20260122,59
106B,1/22/26,15,fm,0.0836,8,36,BAG71,20260121,Alofau,TC,GPS1,AM,71,9:50:00,9:50:00,4,NA,20260122,59
106B,1/22/26,15,y_ii_,0.123,8,36,BAG71,20260121,Alofau,TC,GPS1,AM,71,9:50:00,9:50:00,4,NA,20260122,59
106B,1/22/26,16,f,0.1061,8,36,BAG71,20260121,Alofau,TC,GPS1,AM,71,9:50:00,9:50:00,4,NA,20260122,59
106B,1/22/26,16,fm,0.1251,8,36,BAG71,20260121,Alofau,TC,GPS1,AM,71,9:50:00,9:50:00,4,NA,20260122,59
106B,1/22/26,16,y_ii_,0.152,8,36,BAG71,20260121,Alofau,TC,GPS1,AM,71,9:50:00,9:50:00,4,NA,20260122,59
106E,1/23/26,1,f,0.1432,1,36,27,20260122,Nuuuli North,RC,GPS3,PM,66,4:02:00,16:02:00,6,NA,20260123,86
106E,1/23/26,1,fm,0.1657,1,36,27,20260122,Nuuuli North,RC,GPS3,PM,66,4:02:00,16:02:00,6,NA,20260123,86
106E,1/23/26,1,y_ii_,0.136,1,36,27,20260122,Nuuuli North,RC,GPS3,PM,66,4:02:00,16:02:00,6,NA,20260123,86
106E,1/23/26,2,f,0.1632,1,36,27,20260122,Nuuuli North,RC,GPS3,PM,66,4:02:00,16:02:00,6,NA,20260123,86
106E,1/23/26,2,fm,0.1906,1,36,27,20260122,Nuuuli North,RC,GPS3,PM,66,4:02:00,16:02:00,6,NA,20260123,86
106E,1/23/26,2,y_ii_,0.144,1,36,27,20260122,Nuuuli North,RC,GPS3,PM,66,4:02:00,16:02:00,6,NA,20260123,86
106E,1/23/26,3,f,0.2317,2,36,25,20260122,Nuuuli North,RC,GPS3,PM,25,4:32:00,16:32:00,4,NA,20260123,90
106E,1/23/26,3,fm,0.3705,2,36,25,20260122,Nuuuli North,RC,GPS3,PM,25,4:32:00,16:32:00,4,NA,20260123,90
106E,1/23/26,3,y_ii_,0.375,2,36,25,20260122,Nuuuli North,RC,GPS3,PM,25,4:32:00,16:32:00,4,NA,20260123,90
106E,1/23/26,4,f,0.2488,2,36,25,20260122,Nuuuli North,RC,GPS3,PM,25,4:32:00,16:32:00,4,NA,20260123,90
106E,1/23/26,4,fm,0.3832,2,36,25,20260122,Nuuuli North,RC,GPS3,PM,25,4:32:00,16:32:00,4,NA,20260123,90
106E,1/23/26,4,y_ii_,0.351,2,36,25,20260122,Nuuuli North,RC,GPS3,PM,25,4:32:00,16:32:00,4,NA,20260123,90
106E,1/23/26,5,f,0.2043,3,36,19,20260122,Nuuuli,TC,GPS1,PM,1,3:02:00,15:02:00,1,NA,20260123,103
106E,1/23/26,5,fm,0.305,3,36,19,20260122,Nuuuli,TC,GPS1,PM,1,3:02:00,15:02:00,1,NA,20260123,103
106E,1/23/26,5,y_ii_,0.33,3,36,19,20260122,Nuuuli,TC,GPS1,PM,1,3:02:00,15:02:00,1,NA,20260123,103
106E,1/23/26,6,f,0.2209,3,36,19,20260122,Nuuuli,TC,GPS1,PM,1,3:02:00,15:02:00,1,NA,20260123,103
106E,1/23/26,6,fm,0.3216,3,36,19,20260122,Nuuuli,TC,GPS1,PM,1,3:02:00,15:02:00,1,NA,20260123,103
106E,1/23/26,6,y_ii_,0.313,3,36,19,20260122,Nuuuli,TC,GPS1,PM,1,3:02:00,15:02:00,1,NA,20260123,103
106E,1/23/26,7,f,0.2341,4,36,BAG17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,7,fm,0.3759,4,36,BAG17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,7,y_ii_,0.377,4,36,BAG17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,8,f,0.2361,4,36,BAG17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,8,fm,0.3724,4,36,BAG17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,8,y_ii_,0.366,4,36,BAG17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,9,f,0.2121,5,36,BAG74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,9,fm,0.3245,5,36,BAG74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,9,y_ii_,0.346,5,36,BAG74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,10,f,0.2209,5,36,BAG74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,10,fm,0.3324,5,36,BAG74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,10,y_ii_,0.335,5,36,BAG74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,11,f,0.2165,6,36,BAG6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,11,fm,0.3587,6,36,BAG6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,11,y_ii_,0.396,6,36,BAG6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,12,f,0.217,6,36,BAG6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,12,fm,0.3685,6,36,BAG6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,12,y_ii_,0.411,6,36,BAG6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,13,f,0.2136,7,36,BAG55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,13,fm,0.3685,7,36,BAG55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,13,y_ii_,0.42,7,36,BAG55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,14,f,0.196,7,36,BAG55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,14,fm,0.3372,7,36,BAG55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,14,y_ii_,0.419,7,36,BAG55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,15,f,0.1437,8,36,BAG13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,15,fm,0.24,8,36,BAG13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,15,y_ii_,0.401,8,36,BAG13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,16,f,0.176,8,36,BAG13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,16,fm,0.2727,8,36,BAG13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106E,1/23/26,16,y_ii_,0.355,8,36,BAG13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110A,1/23/26,1,f,0.1931,1,36,37,20260122,Nuuuli North,TC,GPS1,PM,82,5:10:00,17:10:00,4,right of the big patch,20260123,113
110A,1/23/26,1,fm,0.2903,1,36,37,20260122,Nuuuli North,TC,GPS1,PM,82,5:10:00,17:10:00,4,right of the big patch,20260123,113
110A,1/23/26,1,y_ii_,0.335,1,36,37,20260122,Nuuuli North,TC,GPS1,PM,82,5:10:00,17:10:00,4,right of the big patch,20260123,113
110A,1/23/26,2,f,0.2248,1,36,37,20260122,Nuuuli North,TC,GPS1,PM,82,5:10:00,17:10:00,4,right of the big patch,20260123,113
110A,1/23/26,2,fm,0.3328,1,36,37,20260122,Nuuuli North,TC,GPS1,PM,82,5:10:00,17:10:00,4,right of the big patch,20260123,113
110A,1/23/26,2,y_ii_,0.325,1,36,37,20260122,Nuuuli North,TC,GPS1,PM,82,5:10:00,17:10:00,4,right of the big patch,20260123,113
110A,1/23/26,3,f,0.1989,2,36,47,20260122,Nuuuli North,RC,GPS3,PM,24,5:13:00,17:13:00,5,NA,20260123,94
110A,1/23/26,3,fm,0.3069,2,36,47,20260122,Nuuuli North,RC,GPS3,PM,24,5:13:00,17:13:00,5,NA,20260123,94
110A,1/23/26,3,y_ii_,0.352,2,36,47,20260122,Nuuuli North,RC,GPS3,PM,24,5:13:00,17:13:00,5,NA,20260123,94
110A,1/23/26,4,f,0.2429,2,36,47,20260122,Nuuuli North,RC,GPS3,PM,24,5:13:00,17:13:00,5,NA,20260123,94
110A,1/23/26,4,fm,0.3661,2,36,47,20260122,Nuuuli North,RC,GPS3,PM,24,5:13:00,17:13:00,5,NA,20260123,94
110A,1/23/26,4,y_ii_,0.336,2,36,47,20260122,Nuuuli North,RC,GPS3,PM,24,5:13:00,17:13:00,5,NA,20260123,94
110A,1/23/26,5,f,0.1926,3,36,26,20260122,Nuuuli,TC,GPS1,PM,80,2:48:00,14:48:00,2,NA,20260123,100
110A,1/23/26,5,fm,0.2703,3,36,26,20260122,Nuuuli,TC,GPS1,PM,80,2:48:00,14:48:00,2,NA,20260123,100
110A,1/23/26,5,y_ii_,0.288,3,36,26,20260122,Nuuuli,TC,GPS1,PM,80,2:48:00,14:48:00,2,NA,20260123,100
110A,1/23/26,6,f,0.2087,3,36,26,20260122,Nuuuli,TC,GPS1,PM,80,2:48:00,14:48:00,2,NA,20260123,100
110A,1/23/26,6,fm,0.2928,3,36,26,20260122,Nuuuli,TC,GPS1,PM,80,2:48:00,14:48:00,2,NA,20260123,100
110A,1/23/26,6,y_ii_,0.287,3,36,26,20260122,Nuuuli,TC,GPS1,PM,80,2:48:00,14:48:00,2,NA,20260123,100
110A,1/23/26,7,f,0.2326,4,36,46,20260122,Nuuuli North,RC,GPS3,PM,27,4:17:00,16:17:00,5,NA,20260123,88
110A,1/23/26,7,fm,0.3431,4,36,46,20260122,Nuuuli North,RC,GPS3,PM,27,4:17:00,16:17:00,5,NA,20260123,88
110A,1/23/26,7,y_ii_,0.322,4,36,46,20260122,Nuuuli North,RC,GPS3,PM,27,4:17:00,16:17:00,5,NA,20260123,88
110A,1/23/26,8,f,0.2444,4,36,46,20260122,Nuuuli North,RC,GPS3,PM,27,4:17:00,16:17:00,5,NA,20260123,88
110A,1/23/26,8,fm,0.3465,4,36,46,20260122,Nuuuli North,RC,GPS3,PM,27,4:17:00,16:17:00,5,NA,20260123,88
110A,1/23/26,8,y_ii_,0.295,4,36,46,20260122,Nuuuli North,RC,GPS3,PM,27,4:17:00,16:17:00,5,NA,20260123,88
110A,1/23/26,9,f,0.2028,5,36,13,20260122,Nuuuli,RC,GPS3,PM,61,2:07:00,14:07:00,2,NA,20260123,81
110A,1/23/26,9,fm,0.3182,5,36,13,20260122,Nuuuli,RC,GPS3,PM,61,2:07:00,14:07:00,2,NA,20260123,81
110A,1/23/26,9,y_ii_,0.363,5,36,13,20260122,Nuuuli,RC,GPS3,PM,61,2:07:00,14:07:00,2,NA,20260123,81
110A,1/23/26,10,f,0.2693,5,36,13,20260122,Nuuuli,RC,GPS3,PM,61,2:07:00,14:07:00,2,NA,20260123,81
110A,1/23/26,10,fm,0.4257,5,36,13,20260122,Nuuuli,RC,GPS3,PM,61,2:07:00,14:07:00,2,NA,20260123,81
110A,1/23/26,10,y_ii_,0.367,5,36,13,20260122,Nuuuli,RC,GPS3,PM,61,2:07:00,14:07:00,2,NA,20260123,81
110A,1/23/26,11,f,0.1823,6,36,23,20260122,Nuuuli North,TC,GPS1,PM,49,4:41:00,16:41:00,6,NA,20260123,109
110A,1/23/26,11,fm,0.2791,6,36,23,20260122,Nuuuli North,TC,GPS1,PM,49,4:41:00,16:41:00,6,NA,20260123,109
110A,1/23/26,11,y_ii_,0.347,6,36,23,20260122,Nuuuli North,TC,GPS1,PM,49,4:41:00,16:41:00,6,NA,20260123,109
110A,1/23/26,12,f,0.2209,6,36,23,20260122,Nuuuli North,TC,GPS1,PM,49,4:41:00,16:41:00,6,NA,20260123,109
110A,1/23/26,12,fm,0.3431,6,36,23,20260122,Nuuuli North,TC,GPS1,PM,49,4:41:00,16:41:00,6,NA,20260123,109
110A,1/23/26,12,y_ii_,0.356,6,36,23,20260122,Nuuuli North,TC,GPS1,PM,49,4:41:00,16:41:00,6,NA,20260123,109
110A,1/23/26,13,f,0.2219,7,36,36,20260122,Nuuuli,TC,GPS1,PM,86,2:51:00,14:51:00,2,NA,20260123,101
110A,1/23/26,13,fm,0.3309,7,36,36,20260122,Nuuuli,TC,GPS1,PM,86,2:51:00,14:51:00,2,NA,20260123,101
110A,1/23/26,13,y_ii_,0.329,7,36,36,20260122,Nuuuli,TC,GPS1,PM,86,2:51:00,14:51:00,2,NA,20260123,101
110A,1/23/26,14,f,0.2048,7,36,36,20260122,Nuuuli,TC,GPS1,PM,86,2:51:00,14:51:00,2,NA,20260123,101
110A,1/23/26,14,fm,0.3084,7,36,36,20260122,Nuuuli,TC,GPS1,PM,86,2:51:00,14:51:00,2,NA,20260123,101
110A,1/23/26,14,y_ii_,0.336,7,36,36,20260122,Nuuuli,TC,GPS1,PM,86,2:51:00,14:51:00,2,NA,20260123,101
110A,1/23/26,15,f,0.2111,8,36,43,20260122,Nuuuli North,RC,GPS3,PM,23,4:40:00,16:40:00,7,NA,20260123,91
110A,1/23/26,15,fm,0.2869,8,36,43,20260122,Nuuuli North,RC,GPS3,PM,23,4:40:00,16:40:00,7,NA,20260123,91
110A,1/23/26,15,y_ii_,0.264,8,36,43,20260122,Nuuuli North,RC,GPS3,PM,23,4:40:00,16:40:00,7,NA,20260123,91
110A,1/23/26,16,f,0.2072,8,36,43,20260122,Nuuuli North,RC,GPS3,PM,23,4:40:00,16:40:00,7,NA,20260123,91
110A,1/23/26,16,fm,0.2747,8,36,43,20260122,Nuuuli North,RC,GPS3,PM,23,4:40:00,16:40:00,7,NA,20260123,91
110A,1/23/26,16,y_ii_,0.246,8,36,43,20260122,Nuuuli North,RC,GPS3,PM,23,4:40:00,16:40:00,7,NA,20260123,91
110B,1/20/26,1,f,0.1975,1,36,15,20260119,Gataivai,SM,GPS4,PM,5,3:34:00,15:34:00,3,NA,20260120,5
110B,1/20/26,1,fm,0.3138,1,36,15,20260119,Gataivai,SM,GPS4,PM,5,3:34:00,15:34:00,3,NA,20260120,5
110B,1/20/26,1,y_ii_,0.371,1,36,15,20260119,Gataivai,SM,GPS4,PM,5,3:34:00,15:34:00,3,NA,20260120,5
110B,1/20/26,2,f,0.216,1,36,15,20260119,Gataivai,SM,GPS4,PM,5,3:34:00,15:34:00,3,NA,20260120,5
110B,1/20/26,2,fm,0.3392,1,36,15,20260119,Gataivai,SM,GPS4,PM,5,3:34:00,15:34:00,3,NA,20260120,5
110B,1/20/26,2,y_ii_,0.363,1,36,15,20260119,Gataivai,SM,GPS4,PM,5,3:34:00,15:34:00,3,NA,20260120,5
110B,1/20/26,3,f,0.2947,2,36,28,20260119,Nuuuli,TC,GPS1,PM,30,5:51:00,17:51:00,2,NA,20260120,22
110B,1/20/26,3,fm,0.4526,2,36,28,20260119,Nuuuli,TC,GPS1,PM,30,5:51:00,17:51:00,2,NA,20260120,22
110B,1/20/26,3,y_ii_,0.349,2,36,28,20260119,Nuuuli,TC,GPS1,PM,30,5:51:00,17:51:00,2,NA,20260120,22
110B,1/20/26,4,f,0.306,2,36,28,20260119,Nuuuli,TC,GPS1,PM,30,5:51:00,17:51:00,2,NA,20260120,22
110B,1/20/26,4,fm,0.4638,2,36,28,20260119,Nuuuli,TC,GPS1,PM,30,5:51:00,17:51:00,2,NA,20260120,22
110B,1/20/26,4,y_ii_,0.34,2,36,28,20260119,Nuuuli,TC,GPS1,PM,30,5:51:00,17:51:00,2,NA,20260120,22
110B,1/20/26,5,f,0.2419,3,36,29,20260119,Nuuuli,TC,GPS1,PM,38,4:56:00,16:56:00,2,NA,20260120,17
110B,1/20/26,5,fm,0.3558,3,36,29,20260119,Nuuuli,TC,GPS1,PM,38,4:56:00,16:56:00,2,NA,20260120,17
110B,1/20/26,5,y_ii_,0.32,3,36,29,20260119,Nuuuli,TC,GPS1,PM,38,4:56:00,16:56:00,2,NA,20260120,17
110B,1/20/26,6,f,0.2346,3,36,29,20260119,Nuuuli,TC,GPS1,PM,38,4:56:00,16:56:00,2,NA,20260120,17
110B,1/20/26,6,fm,0.3456,3,36,29,20260119,Nuuuli,TC,GPS1,PM,38,4:56:00,16:56:00,2,NA,20260120,17
110B,1/20/26,6,y_ii_,0.321,3,36,29,20260119,Nuuuli,TC,GPS1,PM,38,4:56:00,16:56:00,2,NA,20260120,17
110B,1/20/26,7,f,0.3446,4,36,13,20260119,Nuuuli,RC,GPS3,PM,9,4:58:00,16:58:00,3,NA,20260120,29
110B,1/20/26,7,fm,0.5489,4,36,13,20260119,Nuuuli,RC,GPS3,PM,9,4:58:00,16:58:00,3,NA,20260120,29
110B,1/20/26,7,y_ii_,0.372,4,36,13,20260119,Nuuuli,RC,GPS3,PM,9,4:58:00,16:58:00,3,NA,20260120,29
110B,1/20/26,8,f,0.3612,4,36,13,20260119,Nuuuli,RC,GPS3,PM,9,4:58:00,16:58:00,3,NA,20260120,29
110B,1/20/26,8,fm,0.565,4,36,13,20260119,Nuuuli,RC,GPS3,PM,9,4:58:00,16:58:00,3,NA,20260120,29
110B,1/20/26,8,y_ii_,0.361,4,36,13,20260119,Nuuuli,RC,GPS3,PM,9,4:58:00,16:58:00,3,NA,20260120,29
110B,1/20/26,9,f,0.2527,5,36,38,20260119,Gataivai,RC,GPS3,PM,13,3:48:00,15:48:00,5,NA,20260120,26
110B,1/20/26,9,fm,0.3891,5,36,38,20260119,Gataivai,RC,GPS3,PM,13,3:48:00,15:48:00,5,NA,20260120,26
110B,1/20/26,9,y_ii_,0.351,5,36,38,20260119,Gataivai,RC,GPS3,PM,13,3:48:00,15:48:00,5,NA,20260120,26
110B,1/20/26,10,f,0.2434,5,36,38,20260119,Gataivai,RC,GPS3,PM,13,3:48:00,15:48:00,5,NA,20260120,26
110B,1/20/26,10,fm,0.3783,5,36,38,20260119,Gataivai,RC,GPS3,PM,13,3:48:00,15:48:00,5,NA,20260120,26
110B,1/20/26,10,y_ii_,0.357,5,36,38,20260119,Gataivai,RC,GPS3,PM,13,3:48:00,15:48:00,5,NA,20260120,26
110B,1/20/26,11,f,0.2537,6,36,40,20260119,Nuuuli,RC,GPS3,PM,59,5:21:00,17:21:00,3,"bleached tops, blue mesh bag photo",20260120,31
110B,1/20/26,11,fm,0.3847,6,36,40,20260119,Nuuuli,RC,GPS3,PM,59,5:21:00,17:21:00,3,"bleached tops, blue mesh bag photo",20260120,31
110B,1/20/26,11,y_ii_,0.341,6,36,40,20260119,Nuuuli,RC,GPS3,PM,59,5:21:00,17:21:00,3,"bleached tops, blue mesh bag photo",20260120,31
110B,1/20/26,12,f,0.2693,6,36,40,20260119,Nuuuli,RC,GPS3,PM,59,5:21:00,17:21:00,3,"bleached tops, blue mesh bag photo",20260120,31
110B,1/20/26,12,fm,0.4071,6,36,40,20260119,Nuuuli,RC,GPS3,PM,59,5:21:00,17:21:00,3,"bleached tops, blue mesh bag photo",20260120,31
110B,1/20/26,12,y_ii_,0.339,6,36,40,20260119,Nuuuli,RC,GPS3,PM,59,5:21:00,17:21:00,3,"bleached tops, blue mesh bag photo",20260120,31
110B,1/20/26,13,f,0.1442,7,36,42,20260119,Gataivai,TC,GPS1,PM,16,3:23:00,15:23:00,8,NA,20260120,14
110B,1/20/26,13,fm,0.2199,7,36,42,20260119,Gataivai,TC,GPS1,PM,16,3:23:00,15:23:00,8,NA,20260120,14
110B,1/20/26,13,y_ii_,0.344,7,36,42,20260119,Gataivai,TC,GPS1,PM,16,3:23:00,15:23:00,8,NA,20260120,14
110B,1/20/26,14,f,0.1476,7,36,42,20260119,Gataivai,TC,GPS1,PM,16,3:23:00,15:23:00,8,NA,20260120,14
110B,1/20/26,14,fm,0.2317,7,36,42,20260119,Gataivai,TC,GPS1,PM,16,3:23:00,15:23:00,8,NA,20260120,14
110B,1/20/26,14,y_ii_,0.363,7,36,42,20260119,Gataivai,TC,GPS1,PM,16,3:23:00,15:23:00,8,NA,20260120,14
110B,1/20/26,15,f,0.0909,8,36,43,20260119,Gataivai,SM,GPS4,PM,57,3:30:00,15:30:00,2,NA,20260120,4
110B,1/20/26,15,fm,0.1251,8,36,43,20260119,Gataivai,SM,GPS4,PM,57,3:30:00,15:30:00,2,NA,20260120,4
110B,1/20/26,15,y_ii_,0.273,8,36,43,20260119,Gataivai,SM,GPS4,PM,57,3:30:00,15:30:00,2,NA,20260120,4
110B,1/20/26,16,f,0.109,8,36,43,20260119,Gataivai,SM,GPS4,PM,57,3:30:00,15:30:00,2,NA,20260120,4
110B,1/20/26,16,fm,0.1598,8,36,43,20260119,Gataivai,SM,GPS4,PM,57,3:30:00,15:30:00,2,NA,20260120,4
110B,1/20/26,16,y_ii_,0.318,8,36,43,20260119,Gataivai,SM,GPS4,PM,57,3:30:00,15:30:00,2,NA,20260120,4
110C,1/22/26,1,f,0.1305,1,36,34,20260121,Amouli,SM,GPS4,AM,85,8:51:00,8:51:00,3,NA,20260122,45
